,text,star,app_id,reviewDate,Grammar
0,Anathi Khanyile,5,com.fingersoft.hillclimb,18/03/21,Error
1,Tony bahut funny hai Hill climbing racing my favourite game,5,com.fingersoft.hillclimb,18/03/21,Error
2,Teturwu,1,com.fingersoft.hillclimb,18/03/21,Error
3,Hoooooooooooyaaaaaaaaa what a game hooooooooooooyaaaaaaaa,5,com.fingersoft.hillclimb,18/03/21,Error
4,This game is nice,5,com.fingersoft.hillclimb,18/03/21,Coorect
5,Rahulyadavo,5,com.fingersoft.hillclimb,18/03/21,Error
6,"First thing is that I like this game, it's fantastic and amazing. Though I rate it 4 stars cuz it's right pedal stops working in the game and that's why I kept falling on the bridge.",4,com.fingersoft.hillclimb,18/03/21,Error
7,Very taty,3,com.fingersoft.hillclimb,18/03/21,Error
8,good,5,com.fingersoft.hillclimb,18/03/21,Coorect
9,I LIKE THIS GAME,5,com.fingersoft.hillclimb,18/03/21,Coorect
10,Racing,5,com.fingersoft.hillclimb,18/03/21,Coorect
11,😆😆😆,5,com.fingersoft.hillclimb,18/03/21,Coorect
12,Awesome game. easy to use options.,5,com.fingersoft.hillclimb,18/03/21,Error
13,Very noob game,1,com.fingersoft.hillclimb,18/03/21,Coorect
14,Hill climb racing 2 vip game,5,com.fingersoft.hillclimb,18/03/21,Error
15,Good games,4,com.fingersoft.hillclimb,18/03/21,Coorect
16,I is so oosem game,5,com.fingersoft.hillclimb,18/03/21,Error
17,Good game,3,com.fingersoft.hillclimb,18/03/21,Coorect
18,All right for the price you pay.,4,com.alibaba.aliexpresshd,18/03/21,Coorect
19,"I like the app, it works really well. It is a much better experience then the website.",5,com.alibaba.aliexpresshd,18/03/21,Coorect
20,Chicago,5,com.alibaba.aliexpresshd,18/03/21,Coorect
21,Please add dark amoled theme,4,com.alibaba.aliexpresshd,18/03/21,Error
22,Very easy to use and my delivery was quick and very well protected. Thank you! A+,5,com.alibaba.aliexpresshd,18/03/21,Error
23,Awesome,4,com.alibaba.aliexpresshd,18/03/21,Coorect
24,Excelent Best of all,5,com.alibaba.aliexpresshd,18/03/21,Error
